,id_left,name_left,is_tbd,geometry,index_right,id_right,name_right,color,feature_id,coordinates,geometry_type
113,mutsamudu-comoros,"Mutsamudu, Comoros",False,POINT (44.400042781936996 -12.16665664973713),,,,,,,
114,chindini-comoros,"Chindini, Comoros",False,POINT (43.48910592725337 -11.923498177297583),,,,,,,
115,mouly-new-caledonia,"Mouly, New Caledonia",False,POINT (166.48901879296093 -20.70593760646555),,,,,,,
116,xepenehe-new-caledonia,"Xepenehe, New Caledonia",False,POINT (167.1513230112785 -20.7809160007802),,,,,,,
117,poindimie-new-caledonia,"Poindimie, New Caledonia",False,POINT (165.34155866833254 -20.945878679076127),,,,,,,
118,angra-do-heroismo-portugal,"Angra do Heroismo, Portugal",False,POINT (-27.215824453460687 38.65852273411055),,,,,,,
119,vila-do-porto-portugal,"Vila do Porto, Portugal",False,POINT (-25.14126537622283 36.95676381760329),,,,,,,
120,sao-mateus-portugal,"Sao Mateus, Portugal",False,POINT (-28.46123372745104 38.43229047782683),,,,,,,
121,velas-portugal,"Velas, Portugal",False,POINT (-28.2131870281707 38.683845455403926),,,,,,,
122,porto-santo-portugal,"Porto Santo, Portugal",False,POINT (-16.347668090064676 33.047316301636776),,,,,,,
123,funchal-portugal,"Funchal, Portugal",False,POINT (-16.908946989325337 32.64686582848514),,,,,,,
124,toco-trinidad-and-tobago,"Toco, Trinidad and Tobago",False,POINT (-60.94968727482579 10.831137615524929),,,,,,,
125,pigeon-point-trinidad-and-tobago,"Pigeon Point, Trinidad and Tobago",False,POINT (-60.84031235230797 11.16540972374498),,,,,,,
126,las-caletillas-spain,"Las Caletillas, Spain",False,POINT (-16.36236534527797 28.37727858251394),,,,,,,
127,sihanoukville-cambodia,"Sihanoukville, Cambodia",False,POINT (103.5066415352679 10.630005631197276),,,,,,,
128,kralendijk-bonaire-netherlands,"Kralendijk, Bonaire, Netherlands",False,POINT (-68.27668403743753 12.150684714118114),,,,,,,
129,north-salina-bonaire-sint-eustatius-and-saba,"North Salina, Bonaire, Sint Eustatius and Saba",False,POINT (-68.28414900000034 12.1638160000004),,,,,,,
130,ratmalana-sri-lanka,"Ratmalana, Sri Lanka",False,POINT (79.88927545353178 6.820387603783256),,,,,,,
131,mataram-indonesia,"Mataram, Indonesia",False,POINT (116.08153497084551 -8.586389151919366),,,,,,,
132,beculuk-indonesia,"Beculuk, Indonesia",False,POINT (114.09706372041353 -8.615634129813643),,,,,,,
133,toweli-indonesia,"Toweli, Indonesia",False,POINT (119.38836856575348 -1.142467701149998),,,,,,,
134,sangata-indonesia,"Sangata, Indonesia",False,POINT (117.55096752363566 0.326887363868111),,,,,,,
135,pankalan-indonesia,"Pankalan, Indonesia",False,POINT (111.75292475602346 -2.849667399839222),,,,,,,
