,Unnamed: 0,Vessel_Name,URL,Location,Time,Latitude,Longtitude,Time
79,79,LAVINNYY,https://www.myshiptracking.com/vessels/vessels/lavinnyy-mmsi-273827000-imo-8808575,,,,,
80,80,CODLING,https://www.myshiptracking.com/vessels/vessels/codling-mmsi-992501028-imo-,,,,,
81,81,SUPERBO,https://www.myshiptracking.com/vessels/vessels/superbo-mmsi-247059380-imo-0,,,,,
82,82,LEENDERT,https://www.myshiptracking.com/vessels/vessels/leendert-mmsi-244740972-imo-0,,,,,
83,83,CNC 5,https://www.myshiptracking.com/vessels/vessels/cnc-5-mmsi-563033720-imo-,,,,,
84,84,PW-2,https://www.myshiptracking.com/vessels/vessels/pw-2-mmsi-244730084-imo-0,,,,,
85,85,T/B ROMULO,https://www.myshiptracking.com/vessels/vessels/t-b-romulo-mmsi-225406000-imo-9513050,,,,,
86,86,BEVERLY WAYNE,https://www.myshiptracking.com/vessels/vessels/beverly-wayne-mmsi-367684350-imo-0,,,,,
87,87,CAPT. HERBERT,https://www.myshiptracking.com/vessels/vessels/capt-herbert-mmsi-367008450-imo-0,,,,,
88,88,CHANG SHENG JI 5,https://www.myshiptracking.com/vessels/vessels/chang-sheng-ji-5-mmsi-413697570-imo-0,,,,,
89,89,PILOT L150,https://www.myshiptracking.com/vessels/vessels/pilot-l150-mmsi-230060890-imo-0,,,,,
90,90,CARLO MAGNO,https://www.myshiptracking.com/vessels/vessels/carlo-magno-mmsi-247051910-imo-0,,,,,
91,91,MR G,https://www.myshiptracking.com/vessels/vessels/mr-g-mmsi-338229941-imo-0,,,,,
92,92,MARITINDO PERKASA 8,https://www.myshiptracking.com/vessels/vessels/maritindo-perkasa-8-mmsi-525201316-imo-9920863,,,,,
93,93,VB ANTARES,https://www.myshiptracking.com/vessels/vessels/vb-antares-mmsi-255806406-imo-9803821,,,,,
94,94,BONACCORD,https://www.myshiptracking.com/vessels/vessels/bonaccord-mmsi-235109514-imo-0,,,,,
95,95,S/Y ALBA,https://www.myshiptracking.com/vessels/vessels/s-y-alba-mmsi-219004634-imo-,,,,,
96,96,SYLVIA,https://www.myshiptracking.com/vessels/vessels/sylvia-mmsi-265819600-imo-0,,,,,
97,97,YILDIZ BURNU,https://www.myshiptracking.com/vessels/vessels/yildiz-burnu-mmsi-271042475-imo-9592484,,,,,
98,98,WAXHOLM 2,https://www.myshiptracking.com/vessels/vessels/waxholm-2-mmsi-265522510-imo-8224999,,,,,
99,99,MARIA E LUIGI,https://www.myshiptracking.com/vessels/vessels/maria-e-luigi-mmsi-247121710-imo-0,,,,,
100,100,KURLAND,https://www.myshiptracking.com/vessels/vessels/kurland-mmsi-210853000-imo-9226803,,,,,
101,101,SPLENDOUR OPAL,https://www.myshiptracking.com/vessels/vessels/splendour-opal-mmsi-353785000-imo-9341366,,,,,
102,102,DINTEL,https://www.myshiptracking.com/vessels/vessels/dintel-mmsi-244750895-imo-0,,,,,
103,103,CHARLES,https://www.myshiptracking.com/vessels/vessels/charles-mmsi-538011418-imo-9595175,,,,,
104,104,SUMMER BREEZE,https://www.myshiptracking.com/vessels/vessels/summer-breeze-mmsi-235104367-imo-,,,,,
105,105,HARRY STONE,https://www.myshiptracking.com/vessels/vessels/harry-stone-mmsi-265626130-imo-7405522,,,,,
